,Unnamed: 0,latitude,longitude
1476,1476,40.6985305607,-73.8062844666
1477,1477,40.7675840549,-73.9227281588
1478,1478,40.618812136100004,-73.93008170819999
1479,1479,40.860884541,-73.8943682359
1480,1480,40.6201718286,-73.9888597214
1481,1481,40.7534350795,-73.9064520843
1482,1482,40.6828712409,-73.9786389508
1483,1483,40.740454772199996,-73.98895113409999
1484,1484,40.6120497789,-73.94437569109999
1485,1485,40.686688469699995,-73.9839727257
1486,1486,40.7278903061,-73.8634450886
1487,1487,40.7795208847,-73.793966522
1488,1488,40.705411028600004,-74.0076378289
1489,1489,40.5775847157,-73.9604695652
1490,1490,40.6908406245,-73.98865334199999
1491,1491,40.7007246582,-73.9131269743
1492,1492,40.7392623392,-73.9900770589
1493,1493,40.854077903400004,-73.887756137
1494,1494,40.6692963187,-73.9129306978
1495,1495,40.7273671319,-73.786136507
1496,1496,40.6545243275,-73.9595361853
1497,1497,40.7724905326,-73.9605924728
1498,1498,40.7706890991,-73.8905291842
1499,1499,40.7563402992,-73.7675487976
1500,1500,40.6646670595,-73.98333196680001
1501,1501,40.8574163655,-73.848954119
1502,1502,40.679906431599996,-73.9494855099
1503,1503,40.7386919243,-73.9939410155
1504,1504,40.8318462571,-73.8268721374
1505,1505,40.651764032399996,-73.931075184
1506,1506,40.736942677600005,-73.9970135187
1507,1507,40.713404585300005,-73.9927635174
1508,1508,40.6902389181,-73.814415936
1509,1509,40.7738888807,-73.9812396339
1510,1510,40.8416688769,-73.9413344023
1511,1511,40.6201012904,-73.9342892315
1512,1512,40.670433931,-73.95052109310001
1513,1513,40.7532085219,-73.9695882245
1514,1514,40.8165595691,-73.9191546111
1515,1515,40.635776472399996,-73.97650562609999
1516,1516,40.7082487753,-73.8177919365
1517,1517,40.8292508951,-73.87640210100001
1518,1518,40.7572023893,-73.8688381413
1519,1519,40.5892407924,-73.9603709905
1520,1520,40.7698959809,-73.9629705001
1521,1521,40.8729247888,-73.8788464838
1522,1522,40.5964387369,-73.9412272576
1523,1523,40.8471161445,-73.8988759777
1524,1524,40.7211863752,-73.9891498971
1525,1525,40.7591069725,-73.82673181140001
1526,1526,40.7456829416,-73.9360337256
1527,1527,40.6323438274,-73.9739505118
1528,1528,40.747452619200004,-73.8850629204
1529,1529,40.719435145300004,-73.9963740175
1530,1530,40.7493487104,-73.9916561754
1531,1531,40.6181805086,-73.956128638
1532,1532,40.7562149209,-73.9834676787
1533,1533,40.7583552023,-73.9749371643
1534,1534,40.6042894082,-73.9984880141
1535,1535,40.6504701637,-74.0046404926
1536,1536,40.675576896100004,-73.9717756308
1537,1537,40.760920057,-73.93004616399999
1538,1538,40.7433295621,-73.94321215869999
1539,1539,40.757742398699996,-73.9892723333
1540,1540,40.7060920173,-74.00414800600001
1541,1541,40.8538249195,-73.86783354079999
1542,1542,40.8473497572,-73.8317307835
1543,1543,40.7210059313,-73.9978907236
1544,1544,40.655226125700004,-73.91606748390001
1545,1545,40.8340855706,-73.8287870475
1546,1546,40.766440430799996,-73.9792360797
1547,1547,40.7441023502,-73.94126923510001
1548,1548,40.7636824816,-73.7695762142
1549,1549,40.735169668800005,-73.9855914756
1550,1550,40.5737604019,-73.9820594539
1551,1551,40.7477619053,-73.9906504859
1552,1552,40.6167610556,-74.0301899345
1553,1553,40.7619120513,-73.9831285484
1554,1554,40.8334370201,-73.8596586988
1555,1555,40.7438643192,-73.9871356806
1556,1556,40.7529012914,-73.9797141733
1557,1557,40.735558527100004,-74.0015731355
1558,1558,40.5949863333,-73.9736231988
1559,1559,40.7817250289,-73.8455947681
1560,1560,40.7204952971,-73.8412163821
1561,1561,40.7187886395,-74.0003172803
1562,1562,40.7064243731,-73.7989224649
1563,1563,40.7127956622,-73.8780550025
1564,1564,40.745999004699996,-73.9042777988
1565,1565,40.7835836259,-73.9506467766
